libpsl 0.21.1-1
libpulse 15.0-4
libpwquality 1.4.4-5
libqxp 0.0.2-8
libraqm 0.9.0-1
libraw 0.20.2-1
libraw1394 2.1.2-3
libreoffice-fresh 7.3.2-2
libreoffice-fresh-en-gb 7.3.2-1
librevenge 0.0.4-3
librsvg 2:2.54.0-2
libsamplerate 0.2.2-1
libsasl 2.1.27-3
libseccomp 2.5.3-3
libsecret 0.20.5-2
libshout 1:2.4.5-1
libsidplay 1.36.59-10
libsigc++ 2.10.8-1
libsigsegv 2.14-1
libsm 1.2.3-2
libsndfile 1.1.0-2
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.0.6-1
libsoxr 0.1.3-2
libspiro 1:20200505-2
libssh 0.9.6-1
libssh2 1.10.0-1
libstaroffice 0.0.7-1
libstatgrab 0.92.1-1
libstdc++5-bin 3.3.6-32
libstemmer 2.2.0-2
libsynctex 2021.59745-3
libsysprof-capture 3.44.0-1
libtar 1.2.20-6
libtasn1 4.18.0-1
libteam 1.31-5
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.3.0-2
libtirpc 1.3.2-1
libtommath 1.2.0-3
libtool 2.4.7-1
libunistring 0.9.10-3
libunwind 1.6.2-1
libupnp 1.14.12-3
liburcu 0.13.1-1
libusb 1.0.26-1
libutempter 1.2.1-1
libuv 1.43.0-1
libva 2.14.0-1
libva-intel-driver 2.4.1-2
libva-utils 2.14.0-1
libvdpau 1.5-1
libvisio 0.1.7-7
libvisual 0.4.0-8
libvoikko 4.3.1-2
libvorbis 1.3.7-3
libvpx 1.11.0-2
libvterm01 0.1.4-2
libwacom 2.2.0-1
libwebp 1.2.2-1
libwmf 0.2.12-2
libwpd 0.10.3-3
libwpe 1.12.0-2
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.5-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.1-1
libxdamage 1.1.5-3
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.4.0-1
libxkbcommon-x11 1.4.0-1
libxkbfile 1.1.0-2
libxml2 2.9.13-2
libxmu 1.1.3-2
libxnvctrl 510.60.02-1
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.35-1
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.13-1
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2266+eb6e7bb6-1
libzen 0.4.39-1
libzmf 0.0.2-12
licenses 20220125-1
lilv 0.24.12-4
linux 5.17.3.arch1-1
linux-api-headers 5.16.8-1
linux-firmware 20220411.705f19a-1
linux-firmware-whence 20220411.705f19a-1
linux-headers 5.17.3.arch1-1
linux-zen 5.17.3.zen1-1
linux-zen-headers 5.17.3.zen1-1
llvm-libs 13.0.1-2
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
logrotate 3.19.0-1
lohit-fonts 2.95.5.1-2
lpsolve 5.5.2.11-1
lsd 0.21.0-1
lshw B.02.19.2-4
lsof 4.94.0-1
lua 5.4.4-1
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lpeg 1.0.2-4
luajit 2.1.0.beta3.r397.g20aea939-1
luit 20210218-1
lv2 1.18.2-1
lvm2 2.03.15-1
lxappearance 0.6.3-4
lxappearance-obconf 0.2.3-3
lxmenu-data 0.1.5-3
lynx 2.8.9-5
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.10.2-1
man-pages 5.13-1
md4c 0.4.8-1
mdadm 4.2-2
mediainfo 22.03-1
menu-cache 1.1.0-2
mesa 22.0.1-3
mesa-demos 8.4.0-7
meson 0.62.0-2
metis 5.1.0.p10-2
mimeo 2021.11-3
miniupnpc 2.2.3-1
minizip 1:1.2.12-1
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mlocate 0.26.git.20170220-7
mlt 7.6.0-1
moar 1.9.1-1
mobile-broadband-provider-info 20220315-1
mono 6.12.0.122-1
mono-addins 1.3.3-3
moreutils 0.67-2
mozilla-common 1.4-6
mpfr 4.1.0.p13-2
mpg123 1.29.3-1
mpv 1:0.34.1-4
msgpack-c 4.0.0-1
msmtp 1.8.20-1
msmtp-mta 1.8.20-1
mtdev 1.1.6-1
mujs 1.2.0-2
mypaint-brushes1 1.3.1-1
mythes-en 20060306-5
nano 6.2-1
nasm 2.15.05-1
ncdu 2.1.1-1
ncurses 6.3-2
ndctl 72.1-1
neofetch 7.1.0-2
neomutt 20220415-1
neon 0.32.2-1
neovim 0.7.0-3
net-snmp 5.9.1-3
netctl 1.28-1
netpbm 10.73.37-1
nettle 3.7.3-1
network-manager-applet 1.26.0-1
networkmanager 1.36.4-1
nftables 1:1.0.2-1
ninja 1.10.2-1
nm-connection-editor 1.26.0-1
nnn 4.4-1
node-gyp 9.0.0-1
nodejs 17.9.0-2
nodejs-nopt 5.0.0-2
nomacs 1:3.17.2206-7
notmuch-runtime 0.35-1
noto-fonts-cjk 20220126-1
npm 8.5.5-1
npth 1.6-3
nspr 4.33-2
nss 3.77-1
nss-mdns 0.15.1-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
numactl 2.0.14-2
obconf 2.0.4-7
obmenu-generator 0.90-2
offlineimap 8.0.0-2
oniguruma 6.9.7.1-2
openal 1.21.1-3
openbox 3.6.1-8
openbox-themes 1.0.2-4
opencore-amr 0.1.5-5
opencv 4.5.5-4
opendoas 6.8.2-1
openexr 3.1.5-1
openjpeg2 2.4.0-1
openmpi 4.1.2-1
openresolv 3.12.0-1
openshot 2.6.1-5
openssh 9.0p1-1
openssl 1.1.1.n-1
opera 85.0.4341.60-1
opus 1.3.1-3
opusfile 0.12-1
orc 0.4.32-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-4
pacman-contrib 1.4.0-4
pacman-mirrorlist 20220410-1
pacmatic 20150126-3
pacutils 0.11.1-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pandoc 2.17.1.1-12
pango 1:1.50.7-1
pango-perl 1.227-14
pangomm 2.46.2-1
parted 3.4-2
pass 1.7.4-2
patch 2.7.6-8
pavucontrol 1:5.0+r35+g964f298-1
pcaudiolib 1.2-2
pciutils 3.7.0-2
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.39-1
pcsclite 1.9.5-1
pdfsam 4.2.12-1
pdftk 3.3.2-2
