p11-kit 0.24.0-2
p7zip 1:17.04-3
pacman 6.0.1-3
pacman-contrib 1.4.0-4
pacman-mirrorlist 20211212-1
pacmatic 20150126-3
pacutils 0.11.1-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pandoc 2.14.1-89
pango 1:1.50.3-1
pango-perl 1.227-14
pangomm 2.46.2-1
parted 3.4-2
pass 1.7.4-2
patch 2.7.6-8
pavucontrol 1:5.0-1
pcaudiolib 1.2-2
pciutils 3.7.0-2
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.39-1
pdfsam 4.2.10-1
pdftk 3.3.2-1
peek 1.5.1-3
perl 5.34.0-3
perl-alien-build 2.46-1
perl-alien-libxml2 0.17-2
perl-cairo-gobject 1.004-11
perl-capture-tiny 0.48-5
perl-clone 0.45-3
perl-clone-pp 1.07-1
perl-common-sense 3.75-3
perl-data-dump 1.25-1
perl-data-printer 1.000004-1
perl-dbi 1.643-3
perl-dist-checkconflicts 0.11-7
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-exporter-tiny 1.002002-3
perl-ffi-checklib 0.28-2
perl-file-chdir 0.1011-4
perl-file-homedir 1.006-2
perl-file-listing 6.14-2
perl-file-which 1.24-2
perl-glib-object-introspection 0.049-1
perl-gtk3 0.038-1
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.12-1
perl-http-date 6.05-4
perl-http-message 6.34-1
perl-http-negotiate 6.01-9
perl-image-exiftool 12.30-1
perl-inc-latest 0.500-8
perl-io-html 1.004-2
perl-io-socket-ssl 2.072-1
perl-io-tty 1.16-1
perl-ipc-run 20180523.0-2
perl-json 4.04-1
perl-json-parse 0.55-4
perl-json-xs 4.03-1
perl-lchown 1.01-13
perl-libintl-perl 1.32-2
perl-libwww 6.58-1
perl-linux-desktopfiles 0.25-2
perl-list-moreutils 0.430-2
perl-list-moreutils-xs 0.430-2
perl-locale-gettext 1.07-11
perl-log-log4perl 1.54-2
perl-log-message 0.08-7
perl-log-message-simple 0.10-7
perl-lwp-mediatypes 6.04-1
perl-lwp-protocol-https 6.10-2
perl-mailtools 2.21-5
perl-module-build 0.4231-5
perl-module-implementation 0.09-7
perl-module-runtime 0.016-2
perl-net-http 6.21-2
perl-net-ssleay 1.90-2
perl-package-stash 0.39-2
perl-package-stash-xs 0.29-5
perl-path-tiny 0.120-1
perl-rename 1.10-2
perl-sort-naturally 1.03-7
perl-term-readline-gnu 1.42-1
perl-term-ui 0.50-1
perl-time-duration 1:1.20-4
perl-timedate 2.33-3
perl-try-tiny 0.31-1
perl-types-serialiser 1.0-7
perl-uri 5.10-1
perl-www-robotrules 6.02-9
perl-xml-libxml 2.0207-2
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-3
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
phonon-qt5 4.11.1-2
phonon-qt5-vlc 0.11.3-1
picard 2.7.1-1
pinentry 1.2.0-1
pinta 2.0.1-1
pixman 0.40.0-1
pkgconf 1.8.0-1
pkgfile 21-2
pkgstats 3.1.1-1
pmount 0.9.23-14
pnmixer-gtk3 0.7.2-2
polkit 0.120-3
poppler 22.01.0-1
poppler-data 0.4.11-1
poppler-glib 22.01.0-1
poppler-qt5 22.01.0-1
popt 1.18-2
portaudio 1:19.7.0-1
potrace 1.16-2
procps-ng 3.3.17-1
protobuf 3.19.2-1
pscircle-git 1.3.1.7.g2b51ceb-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.6-2
pulseaudio-bluetooth 15.0-1
python 3.10.1-2
python-anytree 2.8.0-5
python-appdirs 1.4.4-6
python-argcomplete 1.12.3-1
python-asn1crypto 1.4.0-6
