perl-module-build 0.4231-7
perl-module-implementation 0.09-8
perl-module-runtime 0.016-2
perl-net-http 6.22-2
perl-net-ssleay 1.90-3
perl-package-stash 0.40-2
perl-package-stash-xs 0.30-1
perl-path-tiny 0.122-2
perl-rename 1.11-1
perl-sort-naturally 1.03-8
perl-term-readline-gnu 1.42-2
perl-term-ui 0.50-2
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-types-serialiser 1.01-1
perl-uri 5.10-2
perl-www-robotrules 6.02-10
perl-xml-libxml 2.0207-3
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
pgpdump 0.35-1
photocollage 1.4.5-2
picard 2.8.1-1
pinentry 1.2.0-1
pinta 2.0.2-1
pipewire 1:0.3.52-2
pixman 0.40.0-2
pkgconf 1.8.0-1
pkgfile 21-2
pkgstats 3.2.2-1
pnmixer 0.7.2-1
polkit 0.120-5
poppler 22.06.0-1
poppler-data 0.4.11-1
poppler-glib 22.06.0-1
poppler-qt5 22.06.0-1
popt 1.18-3
portaudio 1:19.7.0-1
potrace 1.16-2
procps-ng 3.3.17-1
protobuf 21.1-1
pscircle-git 1.3.1.7.g2b51ceb-1
psmisc 23.5-1
pulseaudio 16.0-1
pulseaudio-bluetooth 16.0-1
